city,AQI,PM2.5/1h,PM2.5/10h,CO/1h,NO2/1h,O3/1h,O3/8h,SO2/1h
郑州,82,25,83,0.44,13,184,136,4
镇江,116,36,69,0.65,24,229,163,13
中山,37,12,0,0.65,13,62,72,1
中卫,62,14,40,0.43,4,152,113,7
周口,104,41,79,0.53,11,206,158,6
舟山,100,55,94,0.87,24,199,145,5
珠海,40,12,22,0.68,20,83,78,2
诸暨,70,36,52,0.7,6,162,122,4
驻马店,105,14,76,0.13,4,181,164,4
株洲,71,37,75,0.69,10,165,124,8
淄博,153,33,92,0.63,18,255,217,21
自贡,63,38,60,0.43,11,169,106,6
资阳,60,10,22,0.42,10,158,110,7
遵义,37,18,30,0.42,13,111,73,7
